id,lat,long,id_2,lat_2,long_2,id_total,type
"73","42.1706197900","-123.9436050000","36","46.5867715100","-122.8626160000","7336","2"
"73","42.1706197900","-123.9436050000","17","49.5324444000","-120.3877450000","7317","2"
"74","41.9832431700","-124.0624290000","90","43.1523438000","-123.3653400000","7490","2"
"74","41.9832431700","-124.0624290000","75","42.1112076900","-122.8102050000","7475","3"
"74","41.9832431700","-124.0624290000","74","41.9832431700","-124.0624290000","7474","3"
"74","41.9832431700","-124.0624290000","73","42.1706197900","-123.9436050000","7473","3"
"74","41.9832431700","-124.0624290000","70","42.5453730300","-123.5962730000","7470","3"
"74","41.9832431700","-124.0624290000","69","42.8538589200","-123.7790790000","7469","2"
"74","41.9832431700","-124.0624290000","67","42.5956448000","-124.3252140000","7467","3"
"74","41.9832431700","-124.0624290000","37","46.4729358700","-123.3418500000","7437","2"
"74","41.9832431700","-124.0624290000","36","46.5867715100","-122.8626160000","7436","2"
"74","41.9832431700","-124.0624290000","17","49.5324444000","-120.3877450000","7417","2"
"75","42.1112076900","-122.8102050000","90","43.1523438000","-123.3653400000","7590","2"
"75","42.1112076900","-122.8102050000","75","42.1112076900","-122.8102050000","7575","3"
"75","42.1112076900","-122.8102050000","74","41.9832431700","-124.0624290000","7574","3"
"75","42.1112076900","-122.8102050000","73","42.1706197900","-123.9436050000","7573","3"
"75","42.1112076900","-122.8102050000","70","42.5453730300","-123.5962730000","7570","3"
"75","42.1112076900","-122.8102050000","69","42.8538589200","-123.7790790000","7569","2"
"75","42.1112076900","-122.8102050000","67","42.5956448000","-124.3252140000","7567","3"
"75","42.1112076900","-122.8102050000","37","46.4729358700","-123.3418500000","7537","2"
"75","42.1112076900","-122.8102050000","36","46.5867715100","-122.8626160000","7536","2"
"75","42.1112076900","-122.8102050000","17","49.5324444000","-120.3877450000","7517","2"
"76","42.8287230400","-121.0918240000","82","46.0301211400","-118.5919460000","7682","2"
"76","42.8287230400","-121.0918240000","77","42.0997822800","-120.5822510000","7677","3"
"76","42.8287230400","-121.0918240000","76","42.8287230400","-121.0918240000","7676","3"
"76","42.8287230400","-121.0918240000","16","46.2628318100","-120.3687730000","7616","2"
"76","42.8287230400","-121.0918240000","15","45.8918119500","-120.4587170000","7615","2"
"76","42.8287230400","-121.0918240000","13","47.0554651700","-119.0617710000","7613","2"
"76","42.8287230400","-121.0918240000","12","46.7519034600","-118.3084880000","7612","2"
"76","42.8287230400","-121.0918240000","6","45.6964643600","-116.5334950000","766","2"
"76","42.8287230400","-121.0918240000","4","45.2157732700","-119.2046090000","764","2"
"76","42.8287230400","-121.0918240000","3","45.6572601200","-118.7926950000","763","2"
"76","42.8287230400","-121.0918240000","1","44.3334596900","-121.1333410000","761","2"
"76","42.8287230400","-121.0918240000","0","44.9447288600","-122.0107700000","760","2"
"77","42.0997822800","-120.5822510000","82","46.0301211400","-118.5919460000","7782","2"
"77","42.0997822800","-120.5822510000","77","42.0997822800","-120.5822510000","7777","3"
"77","42.0997822800","-120.5822510000","76","42.8287230400","-121.0918240000","7776","3"
"77","42.0997822800","-120.5822510000","16","46.2628318100","-120.3687730000","7716","2"
"77","42.0997822800","-120.5822510000","15","45.8918119500","-120.4587170000","7715","2"
"77","42.0997822800","-120.5822510000","13","47.0554651700","-119.0617710000","7713","2"
"77","42.0997822800","-120.5822510000","12","46.7519034600","-118.3084880000","7712","2"
"77","42.0997822800","-120.5822510000","6","45.6964643600","-116.5334950000","776","2"
"77","42.0997822800","-120.5822510000","4","45.2157732700","-119.2046090000","774","2"
"77","42.0997822800","-120.5822510000","3","45.6572601200","-118.7926950000","773","2"
"77","42.0997822800","-120.5822510000","1","44.3334596900","-121.1333410000","771","2"
"77","42.0997822800","-120.5822510000","0","44.9447288600","-122.0107700000","770","2"
"78","45.4634211200","-121.1969380000","80","45.7986915700","-121.7021540000","7880","3"
"78","45.4634211200","-121.1969380000","79","45.7767838600","-121.0544800000","7879","3"
"78","45.4634211200","-121.1969380000","78","45.4634211200","-121.1969380000","7878","3"
"78","45.4634211200","-121.1969380000","52","44.6385069700","-122.1406760000","7852","2"
"78","45.4634211200","-121.1969380000","51","45.3263162700","-122.9016080000","7851","2"
"78","45.4634211200","-121.1969380000","50","46.1256132200","-123.2365730000","7850","2"
"78","45.4634211200","-121.1969380000","49","45.7604816100","-123.8453470000","7849","2"
"78","45.4634211200","-121.1969380000","48","45.1069485200","-122.5085740000","7848","2"
"78","45.4634211200","-121.1969380000","47","45.5730257200","-121.8555490000","7847","3"
"78","45.4634211200","-121.1969380000","46","45.2966102200","-122.1155410000","7846","2"
"78","45.4634211200","-121.1969380000","45","45.7407337800","-122.2048990000","7845","2"
"78","45.4634211200","-121.1969380000","44","45.9754319500","-122.6560260000","7844","2"
"78","45.4634211200","-121.1969380000","42","46.1412665900","-123.9236770000","7842","2"
"79","45.7767838600","-121.0544800000","80","45.7986915700","-121.7021540000","7980","3"
"79","45.7767838600","-121.0544800000","79","45.7767838600","-121.0544800000","7979","3"
"79","45.7767838600","-121.0544800000","78","45.4634211200","-121.1969380000","7978","3"
"79","45.7767838600","-121.0544800000","52","44.6385069700","-122.1406760000","7952","2"
"79","45.7767838600","-121.0544800000","51","45.3263162700","-122.9016080000","7951","2"
"79","45.7767838600","-121.0544800000","50","46.1256132200","-123.2365730000","7950","2"
"79","45.7767838600","-121.0544800000","49","45.7604816100","-123.8453470000","7949","2"
"79","45.7767838600","-121.0544800000","48","45.1069485200","-122.5085740000","7948","2"
"79","45.7767838600","-121.0544800000","47","45.5730257200","-121.8555490000","7947","3"
"79","45.7767838600","-121.0544800000","46","45.2966102200","-122.1155410000","7946","2"
"79","45.7767838600","-121.0544800000","45","45.7407337800","-122.2048990000","7945","2"
"79","45.7767838600","-121.0544800000","44","45.9754319500","-122.6560260000","7944","2"
"79","45.7767838600","-121.0544800000","42","46.1412665900","-123.9236770000","7942","2"
"80","45.7986915700","-121.7021540000","80","45.7986915700","-121.7021540000","8080","3"
"80","45.7986915700","-121.7021540000","79","45.7767838600","-121.0544800000","8079","3"
"80","45.7986915700","-121.7021540000","78","45.4634211200","-121.1969380000","8078","3"
"80","45.7986915700","-121.7021540000","52","44.6385069700","-122.1406760000","8052","2"
"80","45.7986915700","-121.7021540000","51","45.3263162700","-122.9016080000","8051","2"
