id,lat,long,id_2,lat_2,long_2,layer,path,id_total,type
"71","42.2871589000","-123.6031280000","67","42.5956448000","-124.3252140000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7167","1"
"71","42.2871589000","-123.6031280000","65","43.7016238700","-123.8796230000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7165","1"
"71","42.2871589000","-123.6031280000","59","44.4168541400","-123.8819080000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7159","1"
"71","42.2871589000","-123.6031280000","58","44.5745247100","-123.7767940000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7158","1"
"71","42.2871589000","-123.6031280000","57","44.7756118200","-123.8522020000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7157","1"
"71","42.2871589000","-123.6031280000","50","46.1256132200","-123.2365730000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7150","1"
"71","42.2871589000","-123.6031280000","49","45.7604816100","-123.8453470000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7149","1"
"71","42.2871589000","-123.6031280000","42","46.1412665900","-123.9236770000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7142","1"
"72","42.5956448000","-122.7416530000","75","42.1112076900","-122.8102050000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7275","1"
"72","42.5956448000","-122.7416530000","74","41.9832431700","-124.0624290000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7274","1"
"72","42.5956448000","-122.7416530000","73","42.1706197900","-123.9436050000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7273","1"
"72","42.5956448000","-122.7416530000","70","42.5453730300","-123.5962730000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7270","1"
"72","42.5956448000","-122.7416530000","67","42.5956448000","-124.3252140000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7267","1"
"72","42.5956448000","-122.7416530000","65","43.7016238700","-123.8796230000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7265","1"
"72","42.5956448000","-122.7416530000","59","44.4168541400","-123.8819080000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7259","1"
"72","42.5956448000","-122.7416530000","58","44.5745247100","-123.7767940000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7258","1"
"72","42.5956448000","-122.7416530000","57","44.7756118200","-123.8522020000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7257","1"
"72","42.5956448000","-122.7416530000","50","46.1256132200","-123.2365730000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7250","1"
"72","42.5956448000","-122.7416530000","49","45.7604816100","-123.8453470000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7249","1"
"72","42.5956448000","-122.7416530000","42","46.1412665900","-123.9236770000",Joined layer,"Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={670fc36c-9571-4c1f-97e6-8a28d3b27e78}","7242","1"
"0","44.9447288600","-122.0107700000","91","44.6607098300","-122.7527470000","1","Point?crs=EPSG:4326&field=id:long(10)&field=name:string(80)&field=pre_c_pop:long(10)&field=lang_grp:string(80)&field=size:integer(1)&field=own_name:string(80)&field=lang:string(80)&field=pop_1910:integer(8)&field=state:string(15)&field=name_mean:string(150)&field=confd_res:string(150)&field=lat:double(10,10)&field=long:double(10,10)&field=lat1:double(15,7)&field=long1:double(15,7)&field=confd_res2:string(75)&field=id_2:long(10)&field=lat_2:double(10,10)&field=long_2:double(10,10)&uid={1b3d2b69-851d-413f-a43f-3d4d8e47fce8}","091","1"
