ROUTE,SOURCE,TARGET,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,source_lat,source_lon,target_lat,target_lon,ID,flow
OGG-SEA,OGG,SEA,248,224,250,246,235,205,213,219,240,248,20.89866,-156.4304,47.44989,-122.3117,223,2328
OKC-SEA,OKC,SEA,62,56,62,60,62,60,62,62,60,60,35.39308,-97.60077,47.44989,-122.3117,224,606
OMA-PDX,OMA,PDX,0,0,0,3,58,60,62,49,0,0,41.30317,-95.89406,45.58871,-122.5968,225,232
OMA-SEA,OMA,SEA,62,56,62,60,62,60,62,62,60,60,41.30317,-95.89406,47.44989,-122.3117,226,606
ONT-PDX,ONT,PDX,172,150,176,170,166,160,184,186,178,178,34.056,-117.6012,45.58871,-122.5968,227,1720
ONT-SEA,ONT,SEA,127,112,153,164,168,162,168,170,162,166,34.056,-117.6012,47.44989,-122.3117,228,1552
ORD-BOI,ORD,BOI,140,140,186,166,182,180,186,186,180,185,41.97453,-87.9066,43.56437,-116.2228,229,1731
ORD-GEG,ORD,GEG,61,56,62,61,62,59,62,63,70,72,41.97453,-87.9066,47.61903,-117.5352,230,628
ORD-PDX,ORD,PDX,336,249,316,372,452,561,607,632,610,538,41.97453,-87.9066,45.58871,-122.5968,231,4673
ORD-SEA,ORD,SEA,806,620,732,891,1015,1107,1167,1188,1036,1042,41.97453,-87.9066,47.44989,-122.3117,232,9604
ORD-SUN,ORD,SUN,2,4,10,0,0,0,0,0,0,0,41.97453,-87.9066,43.50379,-114.2955,233,16
OTH-DEN,OTH,DEN,0,0,0,0,0,12,18,18,18,2,43.41695,-124.247,39.86167,-104.6731,234,68
OTH-SFO,OTH,SFO,36,32,56,60,62,60,62,62,60,62,43.41695,-124.247,37.61881,-122.3754,235,552
PDX-ABQ,PDX,ABQ,62,56,62,60,62,100,116,116,110,66,45.58871,-122.5968,35.03894,-106.6082,236,810
PDX-ANC,PDX,ANC,128,112,124,120,208,278,290,282,190,186,45.58871,-122.5968,61.17416,-149.9982,237,1918
PDX-ATL,PDX,ATL,171,154,184,172,186,297,391,305,234,176,45.58871,-122.5968,33.63671,-84.42787,238,2270
PDX-AUS,PDX,AUS,62,56,62,80,89,124,144,102,94,90,45.58871,-122.5968,30.19453,-97.66988,239,903
PDX-BIL,PDX,BIL,62,56,62,60,62,60,62,62,60,62,45.58871,-122.5968,45.80786,-108.5435,240,608
PDX-BLI,PDX,BLI,62,56,62,60,86,120,124,99,0,0,45.58871,-122.5968,48.7927,-122.5375,241,669
PDX-BOI,PDX,BOI,422,384,412,396,415,418,432,434,403,422,45.58871,-122.5968,43.56437,-116.2228,242,4138
PDX-BOS,PDX,BOS,46,40,56,60,114,205,240,227,157,134,45.58871,-122.5968,42.36295,-71.00639,243,1279
PDX-BUR,PDX,BUR,190,218,228,215,205,205,240,247,240,246,45.58871,-122.5968,34.2007,-118.3586,244,2234
PDX-BWI,PDX,BWI,0,0,0,0,0,104,124,62,0,0,45.58871,-122.5968,39.17574,-76.66899,245,290
PDX-BZN,PDX,BZN,4,0,0,2,86,108,124,112,60,60,45.58871,-122.5968,45.77724,-111.1502,246,556
PDX-CLE,PDX,CLE,0,0,0,20,28,24,28,8,0,0,45.58871,-122.5968,41.40942,-81.8547,247,108
PDX-CLT,PDX,CLT,76,56,62,60,60,60,116,86,82,86,45.58871,-122.5968,35.21376,-80.94906,248,744
PDX-DAL,PDX,DAL,130,121,127,120,124,120,124,125,118,132,45.58871,-122.5968,32.84595,-96.85088,249,1241
PDX-DCA,PDX,DCA,62,56,62,60,62,60,62,62,60,62,45.58871,-122.5968,38.85145,-77.03772,250,608
PDX-DEN,PDX,DEN,528,468,538,551,574,600,628,646,601,617,45.58871,-122.5968,39.86167,-104.6731,251,5751
PDX-DFW,PDX,DFW,274,224,303,300,332,355,362,370,346,300,45.58871,-122.5968,32.89724,-97.0377,252,3166
PDX-DTW,PDX,DTW,67,56,103,132,184,158,158,139,84,84,45.58871,-122.5968,42.21245,-83.35339,253,1165
PDX-EUG,PDX,EUG,184,209,197,172,180,180,186,182,152,156,45.58871,-122.5968,44.12459,-123.2119,254,1798
PDX-EWR,PDX,EWR,178,164,178,178,186,181,186,186,180,184,45.58871,-122.5968,40.69249,-74.16869,255,1801
PDX-FAT,PDX,FAT,62,56,62,60,63,70,70,70,60,62,45.58871,-122.5968,36.77656,-119.7188,256,635
PDX-FCA,PDX,FCA,0,0,36,52,56,60,62,62,58,0,45.58871,-122.5968,0,0,257,386
PDX-GEG,PDX,GEG,452,360,457,472,514,540,555,558,519,546,45.58871,-122.5968,47.61903,-117.5352,258,4973
PDX-HNL,PDX,HNL,128,116,134,120,132,136,142,134,120,124,45.58871,-122.5968,21.31783,-157.9202,259,1286
PDX-HOU,PDX,HOU,0,0,0,46,62,60,62,12,0,0,45.58871,-122.5968,29.64542,-95.2789,260,242
PDX-IAD,PDX,IAD,14,0,46,60,62,60,62,62,60,62,45.58871,-122.5968,38.94745,-77.45995,261,488
PDX-IAH,PDX,IAH,131,109,123,120,124,168,186,165,120,124,45.58871,-122.5968,29.98444,-95.34145,262,1370
PDX-JFK,PDX,JFK,168,146,180,204,226,272,284,298,224,194,45.58871,-122.5968,40.63993,-73.7787,263,2196
PDX-KOA,PDX,KOA,62,56,62,60,52,34,34,2,0,0,45.58871,-122.5968,19.73877,-156.0456,264,362
