source,target,flow,source_lat,source_lon,target_lat,target_lon,source_num
21111,41005,-13,38.1883,-85.6577,45.1879,-122.2203,41005
21117,41005,-21,38.9337,-84.5331,45.1879,-122.2203,41005
22115,41005,-26,31.108,-93.1837,45.1879,-122.2203,41005
23011,41005,-10,44.4094,-69.7671,45.1879,-122.2203,41005
24005,41005,-27,39.4597,-76.636,45.1879,-122.2203,41005
25015,41005,-13,42.3403,-72.6639,45.1879,-122.2203,41005
25025,41005,-6,42.3343,-71.0694,45.1879,-122.2203,41005
25027,41005,-8,42.3511,-71.9078,45.1879,-122.2203,41005
26023,41005,-19,41.9159,-85.0592,45.1879,-122.2203,41005
26063,41005,-2,43.8329,-83.0312,45.1879,-122.2203,41005
26069,41005,-13,44.3558,-83.6367,45.1879,-122.2203,41005
26139,41005,-15,42.9598,-85.9966,45.1879,-122.2203,41005
26157,41005,-3,43.4652,-83.4175,45.1879,-122.2203,41005
27003,41005,-26,45.2731,-93.2471,45.1879,-122.2203,41005
27037,41005,-38,44.6724,-93.0655,45.1879,-122.2203,41005
27093,41005,-3,45.1233,-94.5287,45.1879,-122.2203,41005
27115,41005,-2,46.1207,-92.7414,45.1879,-122.2203,41005
27123,41005,-13,45.0175,-93.0999,45.1879,-122.2203,41005
28047,41005,-24,30.5044,-89.1114,45.1879,-122.2203,41005
29019,41005,-15,38.9909,-92.3098,45.1879,-122.2203,41005
29159,41005,-3,38.7283,-93.2847,45.1879,-122.2203,41005
29169,41005,-31,37.8246,-92.2078,45.1879,-122.2203,41005
29189,41005,-57,38.6405,-90.4434,45.1879,-122.2203,41005
30001,41005,-13,45.133,-112.899,45.1879,-122.2203,41005
30017,41005,-4,46.2527,-105.5718,45.1879,-122.2203,41005
30021,41005,-1,47.2664,-104.8995,45.1879,-122.2203,41005
30023,41005,-4,46.061,-113.0673,45.1879,-122.2203,41005
30031,41005,-12,45.5411,-111.1696,45.1879,-122.2203,41005
30047,41005,-21,47.6459,-114.0894,45.1879,-122.2203,41005
30049,41005,-7,47.1224,-112.3904,45.1879,-122.2203,41005
30071,41005,-6,48.2592,-107.9133,45.1879,-122.2203,41005
30093,41005,-23,45.9025,-112.6566,45.1879,-122.2203,41005
32003,41005,-71,36.2151,-115.0146,45.1879,-122.2203,41005
32031,41005,-53,40.6657,-119.6643,45.1879,-122.2203,41005
34003,41005,-9,40.9601,-74.0743,45.1879,-122.2203,41005
34013,41005,-18,40.7875,-74.2471,45.1879,-122.2203,41005
34015,41005,-35,39.7171,-75.1409,45.1879,-122.2203,41005
34025,41005,-10,40.2606,-74.2205,45.1879,-122.2203,41005
35043,41005,-13,35.6884,-106.8662,45.1879,-122.2203,41005
35049,41005,-37,35.5065,-105.9764,45.1879,-122.2203,41005
35053,41005,-47,34.0073,-106.9309,45.1879,-122.2203,41005
36047,41005,-66,40.6391,-73.9386,45.1879,-122.2203,41005
36055,41005,-9,43.1469,-77.696,45.1879,-122.2203,41005
36059,41005,-14,40.7376,-73.5862,45.1879,-122.2203,41005
37023,41005,-15,35.7494,-81.7052,45.1879,-122.2203,41005
37081,41005,-22,36.0796,-79.7882,45.1879,-122.2203,41005
37129,41005,-8,34.2322,-77.8845,45.1879,-122.2203,41005
37161,41005,-13,35.4024,-81.92,45.1879,-122.2203,41005
38101,41005,-29,48.2218,-101.5419,45.1879,-122.2203,41005
39057,41005,-13,39.6914,-83.8894,45.1879,-122.2203,41005
39155,41005,-21,41.3173,-80.7611,45.1879,-122.2203,41005
39171,41005,-60,41.5603,-84.5882,45.1879,-122.2203,41005
40055,41005,-20,34.9342,-99.5606,45.1879,-122.2203,41005
40109,41005,-7,35.5514,-97.4069,45.1879,-122.2203,41005
40147,41005,-2,36.7153,-95.9045,45.1879,-122.2203,41005
41001,41005,-23,44.7091,-117.6755,45.1879,-122.2203,41005
