target,source,flow,source_lat,source_lon,target_lat,target_lon
41011,2020,4,61.1504,-149.1125,43.1742,-124.0597
41019,2020,5,61.1504,-149.1125,43.2795,-123.1666
41033,2020,59,61.1504,-149.1125,42.3652,-123.5556
41039,2020,51,61.1504,-149.1125,43.9386,-122.8473
41047,2020,54,61.1504,-149.1125,44.9032,-122.5846
41051,2020,349,61.1504,-149.1125,45.5465,-122.4147
41061,2020,8,61.1504,-149.1125,45.3105,-118.009
41067,2020,269,61.1504,-149.1125,45.5598,-123.0983
41071,2020,81,61.1504,-149.1125,45.2326,-123.3078
16001,2020,387,61.1504,-149.1125,43.4508,-116.2413
16013,2020,196,61.1504,-149.1125,43.4115,-113.9797
16017,2020,5,61.1504,-149.1125,48.3001,-116.6014
16019,2020,26,61.1504,-149.1125,43.388,-111.6148
16025,2020,35,61.1504,-149.1125,43.4631,-114.8061
16027,2020,105,61.1504,-149.1125,43.6249,-116.7093
16035,2020,16,61.1504,-149.1125,46.6736,-115.6564
16037,2020,3,61.1504,-149.1125,44.2414,-114.2816
16039,2020,91,61.1504,-149.1125,43.3538,-115.4695
16055,2020,29,61.1504,-149.1125,47.6743,-116.7018
16057,2020,13,61.1504,-149.1125,46.8156,-116.7116
16063,2020,45,61.1504,-149.1125,43.0023,-114.1384
16065,2020,4,61.1504,-149.1125,43.7843,-111.6604
16069,2020,4,61.1504,-149.1125,46.327,-116.7499
53005,2020,36,61.1504,-149.1125,46.2396,-119.5112
53007,2020,11,61.1504,-149.1125,47.8692,-120.6189
53009,2020,6,61.1504,-149.1125,48.0491,-123.9274
53011,2020,38,61.1504,-149.1125,45.7793,-122.4826
53017,2020,9,61.1504,-149.1125,47.7363,-119.6915
53021,2020,40,61.1504,-149.1125,46.535,-118.8986
53027,2020,23,61.1504,-149.1125,47.1498,-123.7732
53033,2020,780,61.1504,-149.1125,47.49,-121.8065
53035,2020,205,61.1504,-149.1125,47.6134,-122.6734
53037,2020,6,61.1504,-149.1125,47.1245,-120.6796
53041,2020,37,61.1504,-149.1125,46.5775,-122.3919
53043,2020,12,61.1504,-149.1125,47.5763,-118.4187
53045,2020,62,61.1504,-149.1125,47.348,-123.1921
53047,2020,19,61.1504,-149.1125,48.5488,-119.7408
53051,2020,5,61.1504,-149.1125,48.5324,-117.2739
53053,2020,291,61.1504,-149.1125,47.0267,-122.1116
53055,2020,4,61.1504,-149.1125,48.5786,-122.9535
53057,2020,43,61.1504,-149.1125,48.4795,-121.7327
53061,2020,156,61.1504,-149.1125,48.0476,-121.6979
53063,2020,164,61.1504,-149.1125,47.6207,-117.404
53065,2020,31,61.1504,-149.1125,48.3989,-117.8551
53067,2020,41,61.1504,-149.1125,46.9268,-122.8328
53071,2020,50,61.1504,-149.1125,46.2297,-118.4786
53073,2020,127,61.1504,-149.1125,48.8256,-121.7206
53075,2020,9,61.1504,-149.1125,46.9013,-117.523
53077,2020,115,61.1504,-149.1125,46.4568,-120.7387
41001,2050,11,60.9135,-159.8255,44.7091,-117.6755
41061,2050,3,60.9135,-159.8255,45.3105,-118.009
41023,2060,5,58.7422,-156.7027,44.4913,-119.0073
53011,2060,12,58.7422,-156.7027,45.7793,-122.4826
53053,2060,16,58.7422,-156.7027,47.0267,-122.1116
16025,2068,8,63.6736,-150.0093,43.4631,-114.8061
16039,2068,14,63.6736,-150.0093,43.3538,-115.4695
16047,2068,14,63.6736,-150.0093,42.9708,-114.8115
53033,2070,33,59.7983,-158.2142,47.49,-121.8065
41009,2090,8,64.8078,-146.5622,45.9437,-123.0891
41015,2090,25,64.8078,-146.5622,42.4576,-124.1563
41017,2090,43,64.8078,-146.5622,43.9146,-121.2269
41039,2090,26,64.8078,-146.5622,43.9386,-122.8473
41047,2090,48,64.8078,-146.5622,44.9032,-122.5846
41051,2090,62,64.8078,-146.5622,45.5465,-122.4147
41067,2090,48,64.8078,-146.5622,45.5598,-123.0983
41071,2090,11,64.8078,-146.5622,45.2326,-123.3078
16001,2090,30,64.8078,-146.5622,43.4508,-116.2413
16023,2090,7,64.8078,-146.5622,43.7226,-113.1721
16039,2090,15,64.8078,-146.5622,43.3538,-115.4695
16057,2090,30,64.8078,-146.5622,46.8156,-116.7116
16065,2090,30,64.8078,-146.5622,43.7843,-111.6604
16069,2090,9,64.8078,-146.5622,46.327,-116.7499
53025,2090,8,64.8078,-146.5622,47.2056,-119.4516
53033,2090,24,64.8078,-146.5622,47.49,-121.8065
53051,2090,68,64.8078,-146.5622,48.5324,-117.2739
53053,2090,98,64.8078,-146.5622,47.0267,-122.1116
53059,2090,7,64.8078,-146.5622,46.0226,-121.9148
53061,2090,23,64.8078,-146.5622,48.0476,-121.6979
53063,2090,42,64.8078,-146.5622,47.6207,-117.404
53067,2090,155,64.8078,-146.5622,46.9268,-122.8328
53073,2090,51,64.8078,-146.5622,48.8256,-121.7206
53075,2090,39,64.8078,-146.5622,46.9013,-117.523
16001,2100,15,59.1181,-135.5027,43.4508,-116.2413
53033,2105,15,58.2858,-135.6387,47.49,-121.8065
41001,2110,14,58.4509,-134.1764,44.7091,-117.6755
41035,2110,12,58.4509,-134.1764,42.6863,-121.65
41039,2110,7,58.4509,-134.1764,43.9386,-122.8473
41051,2110,45,58.4509,-134.1764,45.5465,-122.4147
16001,2110,496,58.4509,-134.1764,43.4508,-116.2413
16027,2110,27,58.4509,-134.1764,43.6249,-116.7093
16041,2110,1,58.4509,-134.1764,42.1812,-111.8132
16055,2110,6,58.4509,-134.1764,47.6743,-116.7018
16057,2110,17,58.4509,-134.1764,46.8156,-116.7116
16065,2110,35,58.4509,-134.1764,43.7843,-111.6604
16069,2110,4,58.4509,-134.1764,46.327,-116.7499
16081,2110,4,58.4509,-134.1764,43.7599,-111.2078
53011,2110,26,58.4509,-134.1764,45.7793,-122.4826
53033,2110,24,58.4509,-134.1764,47.49,-121.8065
53035,2110,16,58.4509,-134.1764,47.6134,-122.6734
